,Id,PetalWidthCm,Species,blabla
0,1,0.2,Iris-setosa,23456
1,2,0.2,Iris-setosa,23456
2,3,0.2,Iris-setosa,23456
3,4,0.2,Iris-setosa,23456
4,5,0.2,Iris-setosa,23456
5,6,0.4,Iris-setosa,23456
6,7,0.3,Iris-setosa,23456
7,8,0.2,Iris-setosa,23456
8,9,0.2,Iris-setosa,23456
9,10,0.1,Iris-setosa,23456
10,11,0.2,Iris-setosa,23456
11,12,0.2,Iris-setosa,23456
12,13,0.1,Iris-setosa,23456
13,14,0.1,Iris-setosa,23456
14,15,0.2,Iris-setosa,23456
15,16,0.4,Iris-setosa,23456
16,17,0.4,Iris-setosa,23456
17,18,0.3,Iris-setosa,23456
18,19,0.3,Iris-setosa,23456
19,20,0.3,Iris-setosa,23456
20,21,0.2,Iris-setosa,23456
21,22,0.4,Iris-setosa,23456
22,23,0.2,Iris-setosa,23456
23,24,0.5,Iris-setosa,23456
24,25,0.2,Iris-setosa,23456
25,26,0.2,Iris-setosa,23456
26,27,0.4,Iris-setosa,23456
27,28,0.2,Iris-setosa,23456
28,29,0.2,Iris-setosa,23456
29,30,0.2,Iris-setosa,23456
30,31,0.2,Iris-setosa,23456
31,32,0.4,Iris-setosa,23456
32,33,0.1,Iris-setosa,23456
33,34,0.2,Iris-setosa,23456
34,35,0.1,Iris-setosa,23456
35,36,0.2,Iris-setosa,23456
36,37,0.2,Iris-setosa,23456
37,38,0.1,Iris-setosa,23456
38,39,0.2,Iris-setosa,23456
39,40,0.2,Iris-setosa,23456
40,41,0.3,Iris-setosa,23456
41,42,0.3,Iris-setosa,23456
42,43,0.2,Iris-setosa,23456
43,44,0.6,Iris-setosa,23456
44,45,0.4,Iris-setosa,23456
45,46,0.3,Iris-setosa,23456
46,47,0.2,Iris-setosa,23456
47,48,0.2,Iris-setosa,23456
48,49,0.2,Iris-setosa,23456
49,50,0.2,Iris-setosa,23456
50,51,1.4,Iris-versicolor,23456
51,52,1.5,Iris-versicolor,23456
52,53,1.5,Iris-versicolor,23456
53,54,1.3,Iris-versicolor,23456
54,55,1.5,Iris-versicolor,23456
55,56,1.3,Iris-versicolor,23456
56,57,1.6,Iris-versicolor,23456
57,58,1.0,Iris-versicolor,23456
58,59,1.3,Iris-versicolor,23456
59,60,1.4,Iris-versicolor,23456
60,61,1.0,Iris-versicolor,23456
61,62,1.5,Iris-versicolor,23456
